Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes
Loneliness and perversion succumbs some to the cruellest of tasks,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
Thinking long term all nations ought be potentially united,General,Neutral,Reflective,General,Anytime Wisdom,58,4.4,Thinking of profanity can be dehumanizing; Great nations are inspired by beauty in whatever country; Thinking the world as a pyramid in power will lead to hurt
Think deeply at who starts what wars in wars and for what cause,General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,Wars occur over the tiniest conflicts; Well placed social catalysts can stop all wars; Wicked are wars that see human beings as chess pieces
Some memories are worth keeping best preserved,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,Some noble ideals are worth pursuing but mayhap not throughout all known territory; Keeping a diary provides a means to establish your identity and ensure longevity; It is best to live with some values than none
The most perfect individuals are often unknown,General,Neutral,Reflective,General,Daily Motivation,46,3.5,"Sure, there is talk about many known secret societies, but what of the unknown?; Prune and perfect friendships and don't simply discard; Even the most unlikely individuals do too have a story to tell"
So much joy in faiths that are good hearted provided you believe and fit in it,Faith,Uplifting,Inspirational,Spirituality,Anytime Wisdom,78,5.9,Believe in the power of good because there is not much else to rely on; A great deal can be learnt from alternative faiths; Believe in the Jack
Be wary of the mentality of a witch that is deranged,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,"Be not embarrassed as to whom you are, but be wary as to who you disclose yourself to; Deranged is the person that cannot grasp the concept of ethical reason; Compare yourself to others only in a noble and just manner - lest you create envy in others"
Knowing what you drink makes the beverage all the more enjoyable,General,Uplifting,Reflective,General,Daily Motivation,64,4.8,Do the hobby that makes you most happy ultimately; I fear the power of words as it can control people without them knowing your heart; Skin colour makes no difference in heart
Good friendships cannot be bought,General,Neutral,Reflective,Human Nature,Anytime Wisdom,33,2.5,"Prune and perfect friendships and don't simply discard; Get in the habit of doing some good deeds every once in a while at least - good happens; If you live in a world where friendships with the opposite sex ultimately involves sex, you have issues"
"Some, given the position, will inflict terrible woe to others for greater respect",General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being"
It is hard to imagine venomous animals to be friend of man,General,Reflective,Reflective,Human Nature,Anytime Wisdom,58,4.4,"Animals too may experience human-like ills; If a friend betrays you once, then again, and then several times more, that person is ‘evil'; If current times are hard try something fun"
"In no cooperation, we as a species, cannot foster",General,Neutral,Reflective,General,Anytime Wisdom,49,3.7,Be happy for those that foster trouble free lives; Archiving your own life through photos and writing is a good step to foster your identity; Compare yourself to others only in a noble and just manner - lest you create envy in others
It is strange how we only see the good in people if they conform to our petty mannerisms,General,Neutral,Reflective,Human Nature,Anytime Wisdom,88,6.6,The world is strange as no one gets envious if you are last; Most people want to work - there are always jobs with a good government; If you raise some beast to be too smart strange things may happen
"Be not stressed if unable to find love, for stress is borrowing problems from thereafter",Love,Neutral,Reflective,Relationships,Anytime Wisdom,88,6.6,"Relax, and don't stress, because worrying deeply is borrowing problems unneeded; Believe in yourself, but if unable to do so at times then rely on others; If someone has been telling you his/her same problems for years then do something"
Do the hobby that makes you most happy ultimately,General,Neutral,Reflective,General,Anytime Wisdom,49,3.7,Be happy for others; Without friends nothing would ever get done - ultimately...; Skin colour makes no difference in heart
Just a little bit of money in the right hands can save lives - start by helping those close,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,"It is always fun helping; Do the right thing not for deity alone but because it is right; If someone needs a bit of money for a life changing operation, consider charity deeply"
There is no shame in living with hoards of wealth selfishly if with ‘good' reason,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"There is no shame in living a life of plenty, however not helping others when in position - major shame; Living is always finding a reason to live in face of all; Learn what reason is"
No single human being should have so much drastic influence on so many lives,General,Neutral,Reflective,General,Anytime Wisdom,76,5.7,There is only so much a single person is capable of achieving when alone; Be happy for those that foster trouble free lives; Sometimes you have to accept people for what they are as common human nature
Unfortunately the police do not solve all problems of evil so spread the truth to many,"Truth, Ethics",Serious,Advisory,Philosophy,Anytime Wisdom,86,6.5,We cannot solve the problems of others if we don't know the ‘real' person; Truth is for the wise; Spread happiness everywhere you go and if incapable than at least do something nice
Believe only those that give all the indication to know better to you,General,Neutral,Inspirational,General,Daily Motivation,69,5.2,We can appreciate food better if we know what we are eating; Believe in the Jack; Effeminate behaviour in men is an indication of severe hardship
Folk who are drastically different are mostly so just on their outer shell,General,Neutral,Reflective,General,Anytime Wisdom,74,5.6,You can't learn something new from just about anything; Once you survive rock bottom the world looks different; Everyone's lifetime/cycle is different - have you planned ahead?
"All accidents are caused, on lesse an accident happen",General,Neutral,Reflective,General,Anytime Wisdom,53,4,"Things always happen for a reason, not necessarily yours on lesse you will it; If injured by accident don't lay a guilt trip; If you raise some beast to be too smart strange things may happen"
"Sanctiloquency irks many, so beware",General,Neutral,Reflective,General,Anytime Wisdom,35,2.6,"Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
"If someone displayed an seemingly amazing happy life and then falls down, think deeply",General,Neutral,Reflective,General,Anytime Wisdom,86,6.5,Be happy for others; The seemingly more fortunate may be deprived of ‘genuine' happiness - be happy; Think deeply what happens in a universe of infinites for when you perish
A sudden torvous look and expression can make even the unruly bewildered,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,Always look a gift vehicle under the bonnet; If bored try to make it an objective to make someone happy and see how that feels; A sudden change from a long standing standard may be relatively perceived in favour
If you at first try and don't succeed consider a different approach,General,Neutral,Reflective,General,Anytime Wisdom,67,5,"Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; If someone needs a bit of money for a life changing operation, consider charity deeply"
Having a banana split sundae on a date can always make it seem like a first date again,General,Neutral,Advisory,General,Anytime Wisdom,86,6.5,Pray like you mean it; Having control of your own mind is imperative for a life well lived; If bored try to make it an objective to make someone happy and see how that feels
Some creatures never cease to inspire the mind of a thinker,General,Neutral,Advisory,General,Anytime Wisdom,59,4.4,Dispassionate speakers do not inspire; Elegant creatures become renowned through insignias; Only use superstition as a means to inspire positively the self - nothing else
"If a friend betrays you once, then again, and then several times more, that person is ‘evil'",Ethics,Serious,Reflective,Human Nature,Anytime Wisdom,92,6.9,"Art does not convey much about a person on lesse you know the person; The power of love does not cure just any evil, and violence at times helps not either; It is hard to imagine venomous animals to be friend of man"
Completely analysing someone prior to marriage is but a necessity,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,"It is important to understand someone more or en par to thyself prior to marriage; Do not completely underestimate the wisdom from the past; There is consensus in natures' beauty, but then diversity necessity intervenes"
"Plants, even plastic ones, are luxuries readily attainable",General,Neutral,Reflective,General,Anytime Wisdom,58,4.4,Routines are luxuries in which not all have - so be grateful; Originality is almost always readily noticeable; The good ones suffer from seeing others in pain
Living is always finding a reason to live in face of all,General,Neutral,Advisory,General,Anytime Wisdom,56,4.2,There is no shame in living with hoards of wealth selfishly if with ‘good' reason; It is best to live with some values than none; Learn what reason is
In the face of hysteria its best to keep stern,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,You may not realise the face of poverty until it comes to you; Living is always finding a reason to live in face of all; It is best to live with some values than none
If one needs persuasion for good ideas or suggestion then the incumbent lacks reason,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,"Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should; Learn what reason is; Some of the best business ideas may spurt from universities"
If personal happiness then cherish it deeply for it may not last,General,Uplifting,Reflective,General,Anytime Wisdom,64,4.8,"Happiness is being in harmony; This world would not have happiness without entertainers; Once you define your personal Nirvana, incrementally you can design your future"
Anyone with the capacity to love deserves some respect,Love,Neutral,Reflective,Relationships,Anytime Wisdom,54,4.1,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being"
If someone gives you something precious of theirs make sure you know their reasons,General,Neutral,Reflective,General,Daily Motivation,82,6.2,"Everyone has problems; some just don't know what theirs is yet; If you plan a joke make sure you know the language first; When purchasing someone a gift book for someone, be sure you know them well"
Respect other's sanctity of being,General,Neutral,Reflective,General,Anytime Wisdom,33,2.5,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect the good accomplishment of others"
Too much education may make you blind to life itself,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,"Respect education, but remember also to respect hard labour; Trivialities in life can make great conversation pieces; If bored try to make it an objective to make someone happy and see how that feels"
There is only so much a single person is capable of achieving when alone,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,"Art does not convey much about a person on lesse you know the person; No single human being should have so much drastic influence on so many lives; Intelligent creatures, whatever type, are capable of attempting magic - be warned"
If your cause is fair then there is always a way,General,Neutral,Advisory,General,Anytime Wisdom,48,3.6,In love only truth is fair; Some cause happiness wherever they go and some only in synchrony so planned; A noble belief is usually for a good cause
"When you associate history, imagery, and label to a food it can alter our appreciation of it",General,Neutral,Reflective,General,Anytime Wisdom,92,6.9,To gaze upon something is to show appreciation but to do it on people can label you desperate; We can appreciate food better if we know what we are eating; When examining history some things are obvious
Archiving your own life through photos and writing is a good step to foster your identity,Identity,Neutral,Reflective,General,Anytime Wisdom,89,6.7,"In no cooperation, we as a species, cannot foster; Grow to love your identity; Judge not a book by its cover, nor the writing within alone, but compare it to all"
To live utterly honest one needs wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,39,2.9,Being honest to oneself does clarify; It is best to live with some values than none; How daft does someone have to be to live without purpose?
Don't mess with what you don't quite understand,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,Don't believe everything you read but don't mock just about everything either; Don't ever underestimate the might of agility; Everyone has problems; some just don't know what theirs is yet
Do not ‘force' your faith onto others for Allah/God guides with heart,Faith,Neutral,Advisory,Spirituality,Spiritual Prompt,69,5.2,Never give up the faith in good deeds; There is always a GREAT place for you in God's plan; The power of faith does greater wonders when combined with reason
To be fully apprised awareness of key media sources is needed,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,"Never fully trust someone without noble values; When disclosing shocking news, do so with full awareness; It is awareness of the appreciation of the tiniest things in one that builds kinship"
Praise noble deeds but abhor wicked ones,General,Neutral,Reflective,General,Anytime Wisdom,40,3,Never give up the faith in good deeds; Revenge is not only a tool for the wicked; The good ones suffer from seeing others in pain
Belonging in a gang is futile if everyone's identities are well known,General,Neutral,Reflective,General,Daily Motivation,69,5.2,"Philosophy is not just about words but experiencing sensations not known; A story is never truly told, on lesse the legacy be known; Sure, there is talk about many known secret societies, but what of the unknown?"
You can't learn something new from just about anything,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,There are perks at every job; you just have to learn how to find them; Learn what reason is; Learn to do your research before committing to something
Be careful before making an oath,General,Neutral,Reflective,General,Anytime Wisdom,32,2.4,Be careful who you joke about conspiracy cults with; Gossip is an invasion of one's privacy so be careful; In making a passive point sometimes it is good to go straight to the extremes
Be realistic and don't compete at amateur levels against trained professionals,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; Grown up fairy tales can be understood on so many different levels
Getting too accustomed to a steady routine ‘may' be detrimental for your wellbeing,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Teamwork is vital for the wellbeing of most societies; Getting absolutely drunk is an experience that is not often repeated with wisdom; Classical poetry is devoid of creativity simply because we grow accustomed to it
The law does not give credence to the paranormal so instead astound with the truth,Truth,Serious,Reflective,Philosophy,Anytime Wisdom,82,6.2,Truth is for the wise; In love only truth is fair; There is no glory in trespass of the law - just shame
Contemplate over the death of individuals and in the process rediscover yourself,Mortality,Somber,Reflective,General,Anytime Wisdom,80,6,There is no death in heaven?!? How do all things end then?; Death is no easy way out as the afterlife is never certain as such; Mental conditioning is a process best started young
Abusing anything too much will lead to hazards,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,A habit well developed can lead you places; Thinking the world as a pyramid in power will lead to hurt; Relationships with committed individuals always lead to severe hurt
With many alternative therapies for mental ailments; the trick is finding one that fits you,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,Living is always finding a reason to live in face of all; A great deal can be learnt from alternative faiths; Mental conditioning is best done by oneself with reason
Food tastes better when passionate emotions are used in the making,General,Neutral,Reflective,General,Anytime Wisdom,66,5,We can appreciate food better if we know what we are eating; Imagination well used may be better than reading a good book; A beer tastes better for a man if passed by a woman if the ambience is right
Self contentment is greatly facilitated when adhering to noble virtues,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,It is not the search that thrills but the contentment in realisation; Respect for the decease is greatly gained by familiarity of the incumbent; Never fully trust someone without noble values
Relationships with committed individuals always lead to severe hurt,General,Neutral,Advisory,Relationships,Anytime Wisdom,67,5,Thinking the world as a pyramid in power will lead to hurt; Abusing anything too much will lead to hazards; A habit well developed can lead you places
A lot of first impressions are made by irrational hearsay,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,Perception may mean a lot; Think rationally about your funeral to be - most people are irrational; Make good impressions on children because one day they will grow up with you in mind
Expressing how you feel with words is an art that has to be well played,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,There is so much beauty in words and it is words that conquers a nation; Art is an aphrodisiac of the soul; Some individuals will never experience pain or suffering - feel happy for them
If someone has been telling you his/her same problems for years then do something,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Everyone has problems; some just don't know what theirs is yet; It is good to plan ahead in gist, even thousands of years at a glance; I believe that life for ‘believers' is said to last at ‘least' seven thousand years"
Perception may mean a lot,General,Neutral,Reflective,General,Anytime Wisdom,25,1.9,Pray like you mean it; A lot of first impressions are made by irrational hearsay; Observe the things you love as that tells you a lot about yourself
If it hurts for you to see someone else in pain then maybe you are not without hope,General,Somber,Reflective,General,Anytime Wisdom,83,6.2,"If you know someone is beyond hope, and you did all you could, pass him/her on; Never diss someone's favourite food, but maybe indulge them in yours; The good ones suffer from seeing others in pain"
Olfactory senses are usually underappreciated,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,Be grateful for senses; A noble belief is usually for a good cause; Allowing music to control your senses and emotions can be hazardous
Gossip is an invasion of one's privacy so be careful,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,Be careful before making an oath; Be careful who you joke about conspiracy cults with; Be careful of brainwashing material on lesse certain it is of good nature
Never give up the faith in good deeds,Faith,Neutral,Advisory,Spirituality,Anytime Wisdom,37,2.8,Get in the habit of doing some good deeds every once in a while at least - good happens; Life looks better when good deeds are done with no ill malice; Praise noble deeds but abhor wicked ones
"The inner being may be hard to change, in some cases impossible",General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,"Some individuals are easy to read, others impossible, either way familiarisation is a must; Keep in communication with your family because people change fast; When fighting for sheer survival then inner characters get unveiled"
The selfishly rich are but vampires in disguise,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,"There is no shame in living with hoards of wealth selfishly if with ‘good' reason; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
Having control of your own mind is imperative for a life well lived,General,Neutral,Reflective,General,Anytime Wisdom,67,5,"If it is imperative that you reach someone then be sure there is always a way; Do not let superstition control your life, instead learn to appreciate it; Never let imagination control your reasoning"
Servant leadership is amongst the noblest leadership styles,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"All people are born leaders; you just have to know your leadership style; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
Learn to ‘let go' when time mandates it so,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,"Do not let superstition control your life, instead learn to appreciate it; Learn what reason is; Learn from fear when need be, and overcome it next time"
Skin colour makes no difference in heart,General,Neutral,Reflective,General,Anytime Wisdom,40,3,Do the hobby that makes you most happy ultimately; If incapable to make a difference project your sheer spirit; A four colour BIC pen can indulge a child in so many ways
Showing gratitude is conducive to further good actions,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,It is unethical and illogical to stereotype a whole community because of the actions of few; It is easy to misinterpret someone's actions but easier still to fabricate new ones; Get in the habit of doing some good deeds every once in a while at least - good happens
Scalp hair is such a beautiful gift to some so make the best out of it,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,"You are beautiful no matter how ugly you are labelled - it is all relative to different people; Always look a gift vehicle under the bonnet; When purchasing someone a gift book for someone, be sure you know them well"
Deranged is the person that cannot grasp the concept of ethical reason,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,Art does not convey much about a person on lesse you know the person; Lying does not make you a bad person provided it is for ‘harmless' fun and ethical; Learn what reason is
Judging individuals entirely by appearances is utterly foolish,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,"If asked to do something foolish while drunk, please think things utterly through first; To live utterly honest one needs wisdom; The most perfect individuals are often unknown"
If megalomaniacs cause no harm they can be tolerable for entertainment reasons,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Never undermine someone on lesse you do no harm; If your cause is fair then there is always a way; If someone claims they can do a job good then at least hear his/her reasons
Understand that even the nastiest of beings may have problems too,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,Wicked are wars that see human beings as chess pieces; If someone has been telling you his/her same problems for years then do something; What you do not understand about this world ‘may' be for your own safety
Metopomancy is wickedly immoral but ethically fun if done right,Humor,Neutral,Reflective,General,Lighthearted Moment,63,4.7,"Do the right thing not for deity alone but because it is right; It is always fun helping; All forms of government work, but to the right people"
Never pray to deities you do not fully understand unless in dire need,General,Neutral,Advisory,General,Anytime Wisdom,69,5.2,Pray like you mean it; Help others find love that need it so; Never fully trust someone without noble values
If getting ready for a long journey it makes good to prepare for the entertainment,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Do the hobby that makes you most happy ultimately; If megalomaniacs cause no harm they can be tolerable for entertainment reasons; Skin colour makes no difference in heart
Be careful of brainwashing material on lesse certain it is of good nature,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,I do believe certain material possessions can be taken to the afterlife - why not?; Be careful before making an oath; Certain ideals are admirable by both evil and good alike
Inducing paranoia onto others is ethical only when well ministered,General,Neutral,Reflective,General,Anytime Wisdom,66,5,"Cheating with humour may be ethical; Paranoia is useless, it is called being cautious - learn to communicate and it goes away; Deranged is the person that cannot grasp the concept of ethical reason"
Think deeply what happens in a universe of infinites for when you perish,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,"In a universe with infinites, no matter what kind, mayhap every religion needs respect; If you think your experience is unique, think again, you are only human; Think deeply at who starts what wars in wars and for what cause"
With the technological means to communicate one should exploit them,General,Neutral,Reflective,General,Anytime Wisdom,67,5,"Paranoia is useless, it is called being cautious - learn to communicate and it goes away; Only use superstition as a means to inspire positively the self - nothing else; Good timing means absolutely everything when seeking perfection"
Wars occur over the tiniest conflicts,General,Neutral,Reflective,General,Anytime Wisdom,37,2.8,Think deeply at who starts what wars in wars and for what cause; It is awareness of the appreciation of the tiniest things in one that builds kinship; Well placed social catalysts can stop all wars
Don't believe mere hearsay with certainty,General,Neutral,Inspirational,General,Anytime Wisdom,41,3.1,Don't believe everything you read but don't mock just about everything either; Don't mess with what you don't quite understand; A lot of first impressions are made by irrational hearsay
It is not the search that thrills but the contentment in realisation,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,"Self contentment is greatly facilitated when adhering to noble virtues; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
If many individuals are calling and contacting you do not ignore them for they care,General,Neutral,Advisory,General,Anytime Wisdom,83,6.2,The most perfect individuals are often unknown; Even the most unlikely individuals do too have a story to tell; Some individuals will never experience pain or suffering - feel happy for them
It is easy to misinterpret someone's actions but easier still to fabricate new ones,General,Neutral,Reflective,General,Anytime Wisdom,83,6.2,You can't learn something new from just about anything; Death is no easy way out as the afterlife is never certain as such; Showing gratitude is conducive to further good actions
Keeping a diary provides a means to establish your identity and ensure longevity,Identity,Neutral,Reflective,General,Anytime Wisdom,80,6,"Grow to love your identity; Some memories are worth keeping best preserved; Typing life experiences is an easy ordeal, so why not keep a diary?"
"It is good to plan ahead in gist, even thousands of years at a glance",General,Neutral,Reflective,General,Anytime Wisdom,69,5.2,If someone has been telling you his/her same problems for years then do something; There is always a GREAT place for you in God's plan; Arational is he that does not think ahead
The power of faith does greater wonders when combined with reason,Faith,Neutral,Inspirational,Spirituality,Anytime Wisdom,65,4.9,Never give up the faith in good deeds; If God exists it does seem reasonable that it be ordering ‘all' to its greater glory; Learn what reason is
"Sometimes the mind serves as a better repository of history than paper, so use it",General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Of course some genes may ‘seem' better, but what of mind, spirit, and soul; Deforming your innate character for the better will add a history of hurt; Horded is he/she that accumulates never to see the possessions in use again"
Appreciate good fortune when it comes to you,General,Neutral,Reflective,General,Anytime Wisdom,44,3.3,"You may not realise the face of poverty until it comes to you; We can appreciate food better if we know what we are eating; Do not let superstition control your life, instead learn to appreciate it"
Make good impressions on children because one day they will grow up with you in mind,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Grow to love your identity; A lot of first impressions are made by irrational hearsay; If bored try to make it an objective to make someone happy and see how that feels
Battle for your humanitarian rights instead of letting others abuse you,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,"Discipline goes a long way towards a successful battle; Feminism is not about feminine superiority nor unfair rights, it is about reason; If you seek something but cannot find then try asking instead"
"Art is meant to be shown ultimately, so bear in mind of the target audience",General,Neutral,Reflective,General,Anytime Wisdom,75,5.6,Without friends nothing would ever get done - ultimately...; Do the hobby that makes you most happy ultimately; Art is an aphrodisiac of the soul
Certain problems affect people exceedingly differently,General,Neutral,Reflective,Human Nature,Anytime Wisdom,54,4.1,If someone has been telling you his/her same problems for years then do something; Long standing careers may cause one to think differently than norm; Everyone has problems; some just don't know what theirs is yet
"Not everyone is the same in work ethic, but we are similar enough to know a best way",General,Neutral,Reflective,Life Advice,Daily Motivation,84,6.3,"If you cannot work around the standard times, then make work suit your schedules; If you see a baker deplanate his dough with precision, then you know he loves his work; If your cause is fair then there is always a way"
A noble belief is usually for a good cause,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,"If your cause is fair then there is always a way; A belief in myths is not altogether foolish if it impacts your next life to be; Some news never make it to the public on the basis of hearsay, this with good cause"
If you plan a joke make sure you know the language first,General,Neutral,Witty,General,Daily Motivation,56,4.2,"To joke about suffering may be all in good fun but make sure a message is heard after; If someone gives you something precious of theirs make sure you know their reasons; When purchasing someone a gift book for someone, be sure you know them well"
Some of the best business ideas may spurt from universities,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"Be open to new ideas, but do not openly embrace anything without some skepticism; It is best to live with some values than none; If one needs persuasion for good ideas or suggestion then the incumbent lacks reason"
Pray like you mean it,General,Neutral,Reflective,General,Anytime Wisdom,21,1.6,Perception may mean a lot; Just because you may know everything does not mean you can't listen; Just because someone doesn't work does not mean they are stupid
If you have not understood superstition first hand then you do not know the real world,General,Neutral,Advisory,General,Daily Motivation,86,6.5,We cannot solve the problems of others if we don't know the ‘real' person; Grown up fairy tales can be understood on so many different levels; What you do not understand about this world ‘may' be for your own safety
A great degree of negligence by parents is rational if strong seeds have been first planted,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,"Never expect anything from your parents but love; Pets are like children, that is, raise them in negligence and dumb they may be; There is always a GREAT place for you in God's plan"
Not many can handle fame well,General,Neutral,Reflective,General,Anytime Wisdom,29,2.2,"Life in fame is utter damnation to the wise, but if you are smart...; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
In the quest for everlasting love it is a requirement you first know what you are after,Love,Neutral,Reflective,Relationships,Daily Motivation,87,6.5,Believe only those that give all the indication to know better to you; Grow to love your identity; In love only truth is fair
In a world of abnormalities it is best to play it safe,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,The best people in the world are not full of money but have character; What you do not understand about this world ‘may' be for your own safety; This world would not have happiness without entertainers
Real discovery begins by seeing with new eyes,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,You can't learn something new from just about anything; The good ones suffer from seeing others in pain; We cannot solve the problems of others if we don't know the ‘real' person
War for power never works,General,Neutral,Advisory,Life Advice,Anytime Wisdom,25,1.9,Never underestimate the power of dreams; Believe in the power of good because there is not much else to rely on; A combination of different artistic works together indicate a story and theme
Respect the good accomplishment of others,General,Neutral,Reflective,General,Anytime Wisdom,41,3.1,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being"
"When disclosing shocking news, do so with full awareness",General,Neutral,Reflective,General,Anytime Wisdom,56,4.2,"Some news never make it to the public on the basis of hearsay, this with good cause; It is awareness of the appreciation of the tiniest things in one that builds kinship; To be fully apprised awareness of key media sources is needed"
The simplest of minerals can show great beauty when sculpted right,General,Neutral,Reflective,General,Anytime Wisdom,66,5,"Do the right thing not for deity alone but because it is right; Great nations are inspired by beauty in whatever country; All forms of government work, but to the right people"
Everyone has problems; some just don't know what theirs is yet,General,Neutral,Reflective,General,Daily Motivation,62,4.7,We cannot solve the problems of others if we don't know the ‘real' person; Don't believe everything you read but don't mock just about everything either; If someone gives you something precious of theirs make sure you know their reasons
Hilarity and humour is dehumanizing if done to excess,General,Neutral,Reflective,General,Anytime Wisdom,53,4,Overanalysing is dehumanizing to most; Cheating with humour may be ethical; Thinking of profanity can be dehumanizing
Never expect anything from your parents but love,Love,Neutral,Advisory,Relationships,Anytime Wisdom,48,3.6,Respect your elders and love thy parents no matter what as these are traits of nobility; Grow to love your identity; A great degree of negligence by parents is rational if strong seeds have been first planted
"Celibacy does not entirely define a virgin completely, inclusion of the heart does",General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Good advertising does not sell everything if the product does not live up to expectations; Arational is he that does not think ahead; How daft does someone have to be to live without purpose?
All people are born leaders; you just have to know your leadership style,General,Neutral,Reflective,Human Nature,Daily Motivation,72,5.4,Servant leadership is amongst the noblest leadership styles; Every genuine artist has his/her own style; Everyone has problems; some just don't know what theirs is yet
Comparing yourself to others is wrong but we all do it at one point,General,Neutral,Reflective,General,Anytime Wisdom,67,5,A side is always in the wrong if one has to utilize spies; In making a passive point sometimes it is good to go straight to the extremes; If anything can go wrong rest assured it shall not always or ever be so
"In the face of two dire unacceptable options, try to think of another way",General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,"If you think your experience is unique, think again, you are only human; Embrace A.I. - think!; In the face of hysteria its best to keep stern"
Getting absolutely drunk is an experience that is not often repeated with wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,80,6,"If asked to do something foolish while drunk, please think things utterly through first; Good timing means absolutely everything when seeking perfection; Once a lesson is learnt it is not always warranted a mistake shall not be repeated"
Great nations are inspired by beauty in whatever country,General,Neutral,Reflective,General,Anytime Wisdom,56,4.2,The simplest of minerals can show great beauty when sculpted right; Thinking long term all nations ought be potentially united; Nations that unite rapidly certainly have a common nobler cause
Mental conditioning is best done by oneself with reason,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,Mental conditioning is a process best started young; Learn what reason is; Being honest to oneself does clarify
Treating someone with no dignity in respect can make them ponder,General,Neutral,Reflective,General,Anytime Wisdom,64,4.8,"Treating others with respect not always gives you respect so learn to be emotive; Cling to your dignity otherwise you shall become generic; Respect education, but remember also to respect hard labour"
