Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
"All accidents are caused, on lesse an accident happen",General,Neutral,Reflective,General,Anytime Wisdom,53,4.0,"Things always happen for a reason, not necessarily yours on lesse you will it; If injured by accident don't lay a guilt trip; If you raise some beast to be too smart strange things may happen","Strive not with a man without cause, if he have done thee no harm.",Proverbs 3:30
"Sanctiloquency irks many, so beware",General,Neutral,Reflective,General,Anytime Wisdom,35,2.6,"Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",For in the multitude of dreams and many words there are also divers vanities: but fear thou God.,Ecclesiastes 5:7
"If someone displayed an seemingly amazing happy life and then falls down, think deeply",General,Neutral,Reflective,General,Anytime Wisdom,86,6.5,Be happy for others; The seemingly more fortunate may be deprived of ‘genuine' happiness - be happy; Think deeply what happens in a universe of infinites for when you perish,"Greater love hath no man than this, that a man lay down his life for his friends.",John 15:13
A sudden torvous look and expression can make even the unruly bewildered,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,Always look a gift vehicle under the bonnet; If bored try to make it an objective to make someone happy and see how that feels; A sudden change from a long standing standard may be relatively perceived in favour,"My confusion is continually before me, and the shame of my face hath covered me,",Psalms 44:15
If you at first try and don't succeed consider a different approach,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,"Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; If someone needs a bit of money for a life changing operation, consider charity deeply","Hear instruction, and be wise, and refuse it not.",Proverbs 8:33
Having a banana split sundae on a date can always make it seem like a first date again,General,Neutral,Advisory,General,Anytime Wisdom,86,6.5,Pray like you mean it; Having control of your own mind is imperative for a life well lived; If bored try to make it an objective to make someone happy and see how that feels,"And said, O sir, we came indeed down at the first time to buy food:",Genesis 43:20
Some creatures never cease to inspire the mind of a thinker,General,Neutral,Advisory,General,Anytime Wisdom,59,4.4,Dispassionate speakers do not inspire; Elegant creatures become renowned through insignias; Only use superstition as a means to inspire positively the self - nothing else,"These have one mind, and shall give their power and strength unto the beast.",Revelation of John 17:13
"If a friend betrays you once, then again, and then several times more, that person is ‘evil'",Ethics,Serious,Reflective,Human Nature,Anytime Wisdom,92,6.9,"Art does not convey much about a person on lesse you know the person; The power of love does not cure just any evil, and violence at times helps not either; It is hard to imagine venomous animals to be friend of man","And ye shall be betrayed both by parents, and brethren, and kinsfolks, and friends; and some of you shall they cause to be put to death.",Luke 21:16
Completely analysing someone prior to marriage is but a necessity,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,"It is important to understand someone more or en par to thyself prior to marriage; Do not completely underestimate the wisdom from the past; There is consensus in natures' beauty, but then diversity necessity intervenes","Marriage is honourable in all, and the bed undefiled: but whoremongers and adulterers God will judge.",Hebrews 13:4
"Plants, even plastic ones, are luxuries readily attainable",General,Neutral,Reflective,General,Anytime Wisdom,58,4.4,Routines are luxuries in which not all have - so be grateful; Originality is almost always readily noticeable; The good ones suffer from seeing others in pain,"I have planted, Apollos watered; but God gave the increase.",I Corinthians 3:6
Living is always finding a reason to live in face of all,General,Neutral,Advisory,General,Anytime Wisdom,56,4.2,There is no shame in living with hoards of wealth selfishly if with ‘good' reason; It is best to live with some values than none; Learn what reason is,"For to me to live is Christ, and to die is gain.",Philippians 1:21
In the face of hysteria its best to keep stern,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,You may not realise the face of poverty until it comes to you; Living is always finding a reason to live in face of all; It is best to live with some values than none,"Sanctify the Lord of hosts himself; and let him be your fear, and let him be your dread.",Isaiah 8:13
If one needs persuasion for good ideas or suggestion then the incumbent lacks reason,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,"Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should; Learn what reason is; Some of the best business ideas may spurt from universities","And if this come to the governor’s ears, we will persuade him, and secure you.",Matthew 28:14
If personal happiness then cherish it deeply for it may not last,General,Uplifting,Reflective,General,Anytime Wisdom,64,4.8,"Happiness is being in harmony; This world would not have happiness without entertainers; Once you define your personal Nirvana, incrementally you can design your future","Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
Anyone with the capacity to love deserves some respect,Love,Neutral,Reflective,Relationships,Anytime Wisdom,54,4.1,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being",To have respect of persons is not good: for for a piece of bread that man will transgress.,Proverbs 28:21
If someone gives you something precious of theirs make sure you know their reasons,General,Neutral,Reflective,General,Daily Motivation,82,6.2,"Everyone has problems; some just don't know what theirs is yet; If you plan a joke make sure you know the language first; When purchasing someone a gift book for someone, be sure you know them well",That I may cause those that love me to inherit substance; and I will fill their treasures.,Proverbs 8:21
Respect other's sanctity of being,General,Neutral,Reflective,General,Anytime Wisdom,33,2.5,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect the good accomplishment of others",To have respect of persons is not good: for for a piece of bread that man will transgress.,Proverbs 28:21
Too much education may make you blind to life itself,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,"Respect education, but remember also to respect hard labour; Trivialities in life can make great conversation pieces; If bored try to make it an objective to make someone happy and see how that feels","Such knowledge is too wonderful for me; it is high, I cannot attain unto it.",Psalms 139:6
There is only so much a single person is capable of achieving when alone,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,"Art does not convey much about a person on lesse you know the person; No single human being should have so much drastic influence on so many lives; Intelligent creatures, whatever type, are capable of attempting magic - be warned","But let every man prove his own work, and then shall he have rejoicing in himself alone, and not in another.",Galatians 6:4
If your cause is fair then there is always a way,General,Neutral,Advisory,General,Anytime Wisdom,48,3.6,In love only truth is fair; Some cause happiness wherever they go and some only in synchrony so planned; A noble belief is usually for a good cause,"Open thy mouth, judge righteously, and plead the cause of the poor and needy.",Proverbs 31:9
"When you associate history, imagery, and label to a food it can alter our appreciation of it",General,Neutral,Reflective,General,Anytime Wisdom,92,6.9,To gaze upon something is to show appreciation but to do it on people can label you desperate; We can appreciate food better if we know what we are eating; When examining history some things are obvious,"When goods increase, they are increased that eat them: and what good is there to the owners thereof, saving the beholding of them with their eyes?",Ecclesiastes 5:11
Archiving your own life through photos and writing is a good step to foster your identity,Identity,Neutral,Reflective,General,Anytime Wisdom,89,6.7,"In no cooperation, we as a species, cannot foster; Grow to love your identity; Judge not a book by its cover, nor the writing within alone, but compare it to all",Thy testimonies have I taken as an heritage for ever: for they are the rejoicing of my heart.,Psalms 119:111
To live utterly honest one needs wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,39,2.9,Being honest to oneself does clarify; It is best to live with some values than none; How daft does someone have to be to live without purpose?,Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.,Proverbs 4:7
Don't mess with what you don't quite understand,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,Don't believe everything you read but don't mock just about everything either; Don't ever underestimate the might of agility; Everyone has problems; some just don't know what theirs is yet,"O ye simple, understand wisdom: and, ye fools, be ye of an understanding heart.",Proverbs 8:5
Do not ‘force' your faith onto others for Allah/God guides with heart,Faith,Neutral,Advisory,Spirituality,Spiritual Prompt,69,5.2,Never give up the faith in good deeds; There is always a GREAT place for you in God's plan; The power of faith does greater wonders when combined with reason,"Not for that we have dominion over your faith, but are helpers of your joy: for by faith ye stand. ",II Corinthians 1:24
To be fully apprised awareness of key media sources is needed,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,"Never fully trust someone without noble values; When disclosing shocking news, do so with full awareness; It is awareness of the appreciation of the tiniest things in one that builds kinship",Be not forgetful to entertain strangers: for thereby some have entertained angels unawares.,Hebrews 13:2
Praise noble deeds but abhor wicked ones,General,Neutral,Reflective,General,Anytime Wisdom,40,3.0,Never give up the faith in good deeds; Revenge is not only a tool for the wicked; The good ones suffer from seeing others in pain,Treasures of wickedness profit nothing: but righteousness delivereth from death.,Proverbs 10:2
Belonging in a gang is futile if everyone's identities are well known,General,Neutral,Reflective,General,Daily Motivation,69,5.2,"Philosophy is not just about words but experiencing sensations not known; A story is never truly told, on lesse the legacy be known; Sure, there is talk about many known secret societies, but what of the unknown?",And of the rest durst no man join himself to them: but the people magnified them.,Acts 5:13
You can't learn something new from just about anything,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,There are perks at every job; you just have to learn how to find them; Learn what reason is; Learn to do your research before committing to something,But ye have not so learned Christ;,Ephesians 4:20
Be careful before making an oath,General,Neutral,Reflective,General,Anytime Wisdom,32,2.4,Be careful who you joke about conspiracy cults with; Gossip is an invasion of one's privacy so be careful; In making a passive point sometimes it is good to go straight to the extremes,"If a man sin against his neighbour, and an oath be laid upon him to make him swear, and the oath come before thine altar in this house;",II Chronicles 6:22
Be realistic and don't compete at amateur levels against trained professionals,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; Grown up fairy tales can be understood on so many different levels,"Not a novice, lest being lifted up with pride he fall into the condemnation of the devil.",I Timothy 3:6
Getting too accustomed to a steady routine ‘may' be detrimental for your wellbeing,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Teamwork is vital for the wellbeing of most societies; Getting absolutely drunk is an experience that is not often repeated with wisdom; Classical poetry is devoid of creativity simply because we grow accustomed to it,"O spare me, that I may recover strength, before I go hence, and be no more. ",Psalms 39:13
The law does not give credence to the paranormal so instead astound with the truth,Truth,Serious,Reflective,Philosophy,Anytime Wisdom,82,6.2,Truth is for the wise; In love only truth is fair; There is no glory in trespass of the law - just shame,"But if ye be led of the Spirit, ye are not under the law.",Galatians 5:18
Contemplate over the death of individuals and in the process rediscover yourself,Mortality,Somber,Reflective,General,Anytime Wisdom,80,6.0,There is no death in heaven?!? How do all things end then?; Death is no easy way out as the afterlife is never certain as such; Mental conditioning is a process best started young,"To them who by patient continuance in well doing seek for glory and honour and immortality, eternal life:",Romans 2:7
Abusing anything too much will lead to hazards,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,A habit well developed can lead you places; Thinking the world as a pyramid in power will lead to hurt; Relationships with committed individuals always lead to severe hurt,"Sufficient to such a man is this punishment, which was inflicted of many.",II Corinthians 2:6
With many alternative therapies for mental ailments; the trick is finding one that fits you,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,Living is always finding a reason to live in face of all; A great deal can be learnt from alternative faiths; Mental conditioning is best done by oneself with reason,"And I am very sore displeased with the heathen that are at ease: for I was but a little displeased, and they helped forward the affliction.",Zechariah 1:15
Food tastes better when passionate emotions are used in the making,General,Neutral,Reflective,General,Anytime Wisdom,66,5.0,We can appreciate food better if we know what we are eating; Imagination well used may be better than reading a good book; A beer tastes better for a man if passed by a woman if the ambience is right,"For the ear trieth words, as the mouth tasteth meat.",Job 34:3
Self contentment is greatly facilitated when adhering to noble virtues,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,It is not the search that thrills but the contentment in realisation; Respect for the decease is greatly gained by familiarity of the incumbent; Never fully trust someone without noble values,"And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;",II Peter 1:5
Relationships with committed individuals always lead to severe hurt,General,Neutral,Advisory,Relationships,Anytime Wisdom,67,5.0,Thinking the world as a pyramid in power will lead to hurt; Abusing anything too much will lead to hazards; A habit well developed can lead you places,Faithful are the wounds of a friend; but the kisses of an enemy are deceitful.,Proverbs 27:6
A lot of first impressions are made by irrational hearsay,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,Perception may mean a lot; Think rationally about your funeral to be - most people are irrational; Make good impressions on children because one day they will grow up with you in mind,"Judgments are prepared for scorners, and stripes for the back of fools. ",Proverbs 19:29
Expressing how you feel with words is an art that has to be well played,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,There is so much beauty in words and it is words that conquers a nation; Art is an aphrodisiac of the soul; Some individuals will never experience pain or suffering - feel happy for them,My heart is inditing a good matter: I speak of the things which I have made touching the king: my tongue is the pen of a ready writer.,Psalms 45:1
If someone has been telling you his/her same problems for years then do something,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Everyone has problems; some just don't know what theirs is yet; It is good to plan ahead in gist, even thousands of years at a glance; I believe that life for ‘believers' is said to last at ‘least' seven thousand years","Hear instruction, and be wise, and refuse it not.",Proverbs 8:33
Perception may mean a lot,General,Neutral,Reflective,General,Anytime Wisdom,25,1.9,Pray like you mean it; A lot of first impressions are made by irrational hearsay; Observe the things you love as that tells you a lot about yourself,Is there iniquity in my tongue? cannot my taste discern perverse things? ,Job 6:30
If it hurts for you to see someone else in pain then maybe you are not without hope,General,Somber,Reflective,General,Anytime Wisdom,83,6.2,"If you know someone is beyond hope, and you did all you could, pass him/her on; Never diss someone's favourite food, but maybe indulge them in yours; The good ones suffer from seeing others in pain","Woe is me for my hurt! my wound is grievous: but I said, Truly this is a grief, and I must bear it.",Jeremiah 10:19
Olfactory senses are usually underappreciated,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,Be grateful for senses; A noble belief is usually for a good cause; Allowing music to control your senses and emotions can be hazardous,"If the whole body were an eye, where were the hearing? If the whole were hearing, where were the smelling?",I Corinthians 12:17
Gossip is an invasion of one's privacy so be careful,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,Be careful before making an oath; Be careful who you joke about conspiracy cults with; Be careful of brainwashing material on lesse certain it is of good nature,Be not deceived: evil communications corrupt good manners.,I Corinthians 15:33
Never give up the faith in good deeds,Faith,Neutral,Advisory,Spirituality,Anytime Wisdom,37,2.8,Get in the habit of doing some good deeds every once in a while at least - good happens; Life looks better when good deeds are done with no ill malice; Praise noble deeds but abhor wicked ones,"Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck:",I Timothy 1:19
"The inner being may be hard to change, in some cases impossible",General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,"Some individuals are easy to read, others impossible, either way familiarisation is a must; Keep in communication with your family because people change fast; When fighting for sheer survival then inner characters get unveiled","For if a man think himself to be something, when he is nothing, he deceiveth himself.",Galatians 6:3
The selfishly rich are but vampires in disguise,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,"There is no shame in living with hoards of wealth selfishly if with ‘good' reason; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","Behold, these are the ungodly, who prosper in the world; they increase in riches.",Psalms 73:12
Having control of your own mind is imperative for a life well lived,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,"If it is imperative that you reach someone then be sure there is always a way; Do not let superstition control your life, instead learn to appreciate it; Never let imagination control your reasoning","But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.",Philemon 1:14
Servant leadership is amongst the noblest leadership styles,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"All people are born leaders; you just have to know your leadership style; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","Servants, obey in all things your masters according to the flesh; not with eyeservice, as menpleasers; but in singleness of heart, fearing God:",Colossians 3:22
Learn to ‘let go' when time mandates it so,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,"Do not let superstition control your life, instead learn to appreciate it; Learn what reason is; Learn from fear when need be, and overcome it next time","A time to get, and a time to lose; a time to keep, and a time to cast away;",Ecclesiastes 3:6
Skin colour makes no difference in heart,General,Neutral,Reflective,General,Anytime Wisdom,40,3.0,Do the hobby that makes you most happy ultimately; If incapable to make a difference project your sheer spirit; A four colour BIC pen can indulge a child in so many ways,"Circumcise therefore the foreskin of your heart, and be no more stiffnecked.",Deuteronomy 10:16
Showing gratitude is conducive to further good actions,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,It is unethical and illogical to stereotype a whole community because of the actions of few; It is easy to misinterpret someone's actions but easier still to fabricate new ones; Get in the habit of doing some good deeds every once in a while at least - good happens,"It is a good thing to give thanks unto the Lord, and to sing praises unto thy name, O most High:",Psalms 92:1
Scalp hair is such a beautiful gift to some so make the best out of it,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,"You are beautiful no matter how ugly you are labelled - it is all relative to different people; Always look a gift vehicle under the bonnet; When purchasing someone a gift book for someone, be sure you know them well",But there shall not an hair of your head perish.,Luke 21:18
Deranged is the person that cannot grasp the concept of ethical reason,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,Art does not convey much about a person on lesse you know the person; Lying does not make you a bad person provided it is for ‘harmless' fun and ethical; Learn what reason is,"For it seemeth to me unreasonable to send a prisoner, and not withal to signify the crimes laid against him. ",Acts 25:27
Judging individuals entirely by appearances is utterly foolish,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,"If asked to do something foolish while drunk, please think things utterly through first; To live utterly honest one needs wisdom; The most perfect individuals are often unknown","Judge not according to the appearance, but judge righteous judgment.",John 7:24
If megalomaniacs cause no harm they can be tolerable for entertainment reasons,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Never undermine someone on lesse you do no harm; If your cause is fair then there is always a way; If someone claims they can do a job good then at least hear his/her reasons,"So that not only this our craft is in danger to be set at nought; but also that the temple of the great goddess Diana should be despised, and her magnificence should be destroyed, whom all Asia and the world worshippeth.",Acts 19:27
Understand that even the nastiest of beings may have problems too,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,Wicked are wars that see human beings as chess pieces; If someone has been telling you his/her same problems for years then do something; What you do not understand about this world ‘may' be for your own safety,"For if after they have escaped the pollutions of the world through the knowledge of the Lord and Saviour Jesus Christ, they are again entangled therein, and overcome, the latter end is worse with them than the beginning.",II Peter 2:20
Metopomancy is wickedly immoral but ethically fun if done right,Humor,Neutral,Reflective,General,Lighthearted Moment,63,4.7,"Do the right thing not for deity alone but because it is right; It is always fun helping; All forms of government work, but to the right people","Incline not my heart to any evil thing, to practise wicked works with men that work iniquity: and let me not eat of their dainties.",Psalms 141:4
Never pray to deities you do not fully understand unless in dire need,General,Neutral,Advisory,General,Anytime Wisdom,69,5.2,Pray like you mean it; Help others find love that need it so; Never fully trust someone without noble values,Pray without ceasing.,I Thessalonians 5:17
If getting ready for a long journey it makes good to prepare for the entertainment,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Do the hobby that makes you most happy ultimately; If megalomaniacs cause no harm they can be tolerable for entertainment reasons; Skin colour makes no difference in heart,"And patience, experience; and experience, hope:",Romans 5:4
Be careful of brainwashing material on lesse certain it is of good nature,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,I do believe certain material possessions can be taken to the afterlife - why not?; Be careful before making an oath; Certain ideals are admirable by both evil and good alike,"But rather give alms of such things as ye have; and, behold, all things are clean unto you.",Luke 11:41
Inducing paranoia onto others is ethical only when well ministered,General,Neutral,Reflective,General,Anytime Wisdom,66,5.0,"Cheating with humour may be ethical; Paranoia is useless, it is called being cautious - learn to communicate and it goes away; Deranged is the person that cannot grasp the concept of ethical reason",Debate thy cause with thy neighbour himself; and discover not a secret to another:,Proverbs 25:9
Think deeply what happens in a universe of infinites for when you perish,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,"In a universe with infinites, no matter what kind, mayhap every religion needs respect; If you think your experience is unique, think again, you are only human; Think deeply at who starts what wars in wars and for what cause","For this shall the earth mourn, and the heavens above be black: because I have spoken it, I have purposed it, and will not repent, neither will I turn back from it.",Jeremiah 4:28
With the technological means to communicate one should exploit them,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,"Paranoia is useless, it is called being cautious - learn to communicate and it goes away; Only use superstition as a means to inspire positively the self - nothing else; Good timing means absolutely everything when seeking perfection",Be not deceived: evil communications corrupt good manners.,I Corinthians 15:33
Wars occur over the tiniest conflicts,General,Neutral,Reflective,General,Anytime Wisdom,37,2.8,Think deeply at who starts what wars in wars and for what cause; It is awareness of the appreciation of the tiniest things in one that builds kinship; Well placed social catalysts can stop all wars,Which imagine mischiefs in their heart; continually are they gathered together for war.,Psalms 140:2
Don't believe mere hearsay with certainty,General,Neutral,Inspirational,General,Anytime Wisdom,41,3.1,Don't believe everything you read but don't mock just about everything either; Don't mess with what you don't quite understand; A lot of first impressions are made by irrational hearsay,"This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;",Titus 1:13
It is not the search that thrills but the contentment in realisation,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,"Self contentment is greatly facilitated when adhering to noble virtues; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","They search out iniquities; they accomplish a diligent search: both the inward thought of every one of them, and the heart, is deep.",Psalms 64:6
If many individuals are calling and contacting you do not ignore them for they care,General,Neutral,Advisory,General,Anytime Wisdom,83,6.2,The most perfect individuals are often unknown; Even the most unlikely individuals do too have a story to tell; Some individuals will never experience pain or suffering - feel happy for them,"And it shall come to pass, that before they call, I will answer; and while they are yet speaking, I will hear.",Isaiah 65:24
It is easy to misinterpret someone's actions but easier still to fabricate new ones,General,Neutral,Reflective,General,Anytime Wisdom,83,6.2,You can't learn something new from just about anything; Death is no easy way out as the afterlife is never certain as such; Showing gratitude is conducive to further good actions,"Behold, the former things are come to pass, and new things do I declare: before they spring forth I tell you of them.",Isaiah 42:9
Keeping a diary provides a means to establish your identity and ensure longevity,Identity,Neutral,Reflective,General,Anytime Wisdom,80,6.0,"Grow to love your identity; Some memories are worth keeping best preserved; Typing life experiences is an easy ordeal, so why not keep a diary?","Lord, make me to know mine end, and the measure of my days, what it is; that I may know how frail I am.",Psalms 39:4
"It is good to plan ahead in gist, even thousands of years at a glance",General,Neutral,Reflective,General,Anytime Wisdom,69,5.2,If someone has been telling you his/her same problems for years then do something; There is always a GREAT place for you in God's plan; Arational is he that does not think ahead,But now this shall be the thing which we will do to Gibeah; we will go up by lot against it;,Judges 20:9
The power of faith does greater wonders when combined with reason,Faith,Neutral,Inspirational,Spirituality,Anytime Wisdom,65,4.9,Never give up the faith in good deeds; If God exists it does seem reasonable that it be ordering ‘all' to its greater glory; Learn what reason is,"Now faith is the substance of things hoped for, the evidence of things not seen.",Hebrews 11:1
"Sometimes the mind serves as a better repository of history than paper, so use it",General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Of course some genes may ‘seem' better, but what of mind, spirit, and soul; Deforming your innate character for the better will add a history of hurt; Horded is he/she that accumulates never to see the possessions in use again",I will remember the works of the Lord: surely I will remember thy wonders of old.,Psalms 77:11
Appreciate good fortune when it comes to you,General,Neutral,Reflective,General,Anytime Wisdom,44,3.3,"You may not realise the face of poverty until it comes to you; We can appreciate food better if we know what we are eating; Do not let superstition control your life, instead learn to appreciate it",In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,I Thessalonians 5:18
Make good impressions on children because one day they will grow up with you in mind,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Grow to love your identity; A lot of first impressions are made by irrational hearsay; If bored try to make it an objective to make someone happy and see how that feels,"But woe to them that are with child, and to them that give suck in those days!",Mark 13:17
Battle for your humanitarian rights instead of letting others abuse you,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,"Discipline goes a long way towards a successful battle; Feminism is not about feminine superiority nor unfair rights, it is about reason; If you seek something but cannot find then try asking instead","Deliver me not over unto the will of mine enemies: for false witnesses are risen up against me, and such as breathe out cruelty.",Psalms 27:12
"Art is meant to be shown ultimately, so bear in mind of the target audience",General,Neutral,Reflective,General,Anytime Wisdom,75,5.6,Without friends nothing would ever get done - ultimately...; Do the hobby that makes you most happy ultimately; Art is an aphrodisiac of the soul,"What profiteth the graven image that the maker thereof hath graven it; the molten image, and a teacher of lies, that the maker of his work trusteth therein, to make dumb idols?",Habakkuk 2:18
Certain problems affect people exceedingly differently,General,Neutral,Reflective,Human Nature,Anytime Wisdom,54,4.1,If someone has been telling you his/her same problems for years then do something; Long standing careers may cause one to think differently than norm; Everyone has problems; some just don't know what theirs is yet,"Fools because of their transgression, and because of their iniquities, are afflicted.",Psalms 107:17
"Not everyone is the same in work ethic, but we are similar enough to know a best way",General,Neutral,Reflective,Life Advice,Daily Motivation,84,6.3,"If you cannot work around the standard times, then make work suit your schedules; If you see a baker deplanate his dough with precision, then you know he loves his work; If your cause is fair then there is always a way","For we hear that there are some which walk among you disorderly, working not at all, but are busybodies.",II Thessalonians 3:11
A noble belief is usually for a good cause,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,"If your cause is fair then there is always a way; A belief in myths is not altogether foolish if it impacts your next life to be; Some news never make it to the public on the basis of hearsay, this with good cause","And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;",II Peter 1:5
If you plan a joke make sure you know the language first,General,Neutral,Witty,General,Daily Motivation,56,4.2,"To joke about suffering may be all in good fun but make sure a message is heard after; If someone gives you something precious of theirs make sure you know their reasons; When purchasing someone a gift book for someone, be sure you know them well","Teach me, and I will hold my tongue: and cause me to understand wherein I have erred.",Job 6:24
Some of the best business ideas may spurt from universities,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"Be open to new ideas, but do not openly embrace anything without some skepticism; It is best to live with some values than none; If one needs persuasion for good ideas or suggestion then the incumbent lacks reason",What profit hath he that worketh in that wherein he laboureth?,Ecclesiastes 3:9
Pray like you mean it,General,Neutral,Reflective,General,Anytime Wisdom,21,1.6,Perception may mean a lot; Just because you may know everything does not mean you can't listen; Just because someone doesn't work does not mean they are stupid,Pray without ceasing.,I Thessalonians 5:17
If you have not understood superstition first hand then you do not know the real world,General,Neutral,Advisory,General,Daily Motivation,86,6.5,We cannot solve the problems of others if we don't know the ‘real' person; Grown up fairy tales can be understood on so many different levels; What you do not understand about this world ‘may' be for your own safety,"Then Paul stood in the midst of Mars’ hill, and said, Ye men of Athens, I perceive that in all things ye are too superstitious.",Acts 17:22
A great degree of negligence by parents is rational if strong seeds have been first planted,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,"Never expect anything from your parents but love; Pets are like children, that is, raise them in negligence and dumb they may be; There is always a GREAT place for you in God's plan","Which indeed is the least of all seeds: but when it is grown, it is the greatest among herbs, and becometh a tree, so that the birds of the air come and lodge in the branches thereof.",Matthew 13:32
Not many can handle fame well,General,Neutral,Reflective,General,Anytime Wisdom,29,2.2,"Life in fame is utter damnation to the wise, but if you are smart...; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",And the fame hereof went abroad into all that land.,Matthew 9:26
In the quest for everlasting love it is a requirement you first know what you are after,Love,Neutral,Reflective,Relationships,Daily Motivation,87,6.5,Believe only those that give all the indication to know better to you; Grow to love your identity; In love only truth is fair,"For this is the message that ye heard from the beginning, that we should love one another.",I John 3:11
In a world of abnormalities it is best to play it safe,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,The best people in the world are not full of money but have character; What you do not understand about this world ‘may' be for your own safety; This world would not have happiness without entertainers,"It shall be health to thy navel, and marrow to thy bones.",Proverbs 3:8
Real discovery begins by seeing with new eyes,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,You can't learn something new from just about anything; The good ones suffer from seeing others in pain; We cannot solve the problems of others if we don't know the ‘real' person,"For now we see through a glass, darkly; but then face to face: now I know in part; but then shall I know even as also I am known.",I Corinthians 13:12
War for power never works,General,Neutral,Advisory,Life Advice,Anytime Wisdom,25,1.9,Never underestimate the power of dreams; Believe in the power of good because there is not much else to rely on; A combination of different artistic works together indicate a story and theme,"I am for peace: but when I speak, they are for war. ",Psalms 120:7
Respect the good accomplishment of others,General,Neutral,Reflective,General,Anytime Wisdom,41,3.1,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being","Give thanks unto the Lord, call upon his name, make known his deeds among the people.",I Chronicles 16:8
